AÑO,INEGI,ENTIDAD,LEY,CONCEPTO,TIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,0,0,0,0,0,0,0,0,0,0,1,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRANSPORTE,0,0,0,3,1,3,0,0,0,0,2,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,COMERCIO,13,9,18,16,8,14,13,6,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,POSESION,22,22,21,24,24,16,10,12,1,1,4,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,OTROS,1,1,0,1,0,1,2,4,0,1,3,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,4,0,1,3,0,4,3,1,3,0,4,3
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,9,4,2,0,0,1,0,4,2,1,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,1,0,0,0,0,1,0,0,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,ELECTORALES,0,7,4,4,7,10,1,0,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,2,1,1,0,0,0,1,0,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",2,6,3,12,5,4,3,7,1,2,8,2
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,PATRIMONIALES,7,3,4,5,5,25,2,2,5,6,1,3
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,0,0,0,5,0,0,0,0,0
2012,1,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,4,2,2,1,4,9,1,0,2,3,3,0
2012,2,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,0,0,1,0,1,2,1,1,2,0,0,0
