AÑO,ENTIDAD,LEY,CONCEPTO,TIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,2,0,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRANSPORTE,0,0,0,0,3,0,1,1.0,1.0,2.0,1.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,COMERCIO,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,POSESION,8,5,4,6,9,11,10,16.0,9.0,8.0,7.0,12.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,CONTRA LA SALUD,OTROS,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,4,4,1,0,2,4,4,0.0,2.0,2.0,1.0,1.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,1,1,2,0,0,1,1,1.0,1.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",2,1,2,1,0,4,2,2.0,1.0,3.0,7.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,PATRIMONIALES,58,4,4,14,9,16,19,9.0,10.0,8.0,5.0,8.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,0.0
2019,AGUASCALIENTES,CODIGO PENAL FEDERAL,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,3,1,2,3,1,1,4,3.0,0.0,1.0,3.0,1.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,22,12,29,27,34,34,9,2.0,0.0,3.0,0.0,0.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRANSPORTE,0,0,0,0,0,0,14,10.0,11.0,7.0,3.0,4.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRAFICO,3,1,1,1,3,4,5,8.0,23.0,22.0,24.0,21.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,COMERCIO,0,0,0,0,0,0,2,1.0,2.0,1.0,1.0,1.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,POSESION,36,28,30,25,57,51,54,65.0,44.0,47.0,27.0,23.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,OTROS,1,0,1,1,2,3,6,6.0,8.0,5.0,2.0,0.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,23,9,10,6,20,13,14,10.0,8.0,9.0,9.0,8.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,3,4,4,4,6,4,5,22.0,4.0,5.0,5.0,3.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,5,4,1,4,4,0,4,1.0,4.0,4.0,1.0,0.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,1,0,1,1,0,0,0,5.0,4.0,3.0,0.0,1.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",7,3,12,11,13,7,6,9.0,8.0,12.0,6.0,4.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,PATRIMONIALES,120,44,74,44,60,33,46,48.0,35.0,31.0,20.0,30.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,18,14,17,5,7,1,1,2.0,1.0,0.0,2.0,0.0
2019,BAJA CALIFORNIA,CODIGO PENAL FEDERAL,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,43,51,34,14,44,55,52,16.0,9.0,6.0,6.0,6.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRANSPORTE,4,7,5,1,1,0,6,5.0,4.0,8.0,3.0,4.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,0,0,2.0,7.0,5.0,3.0,1.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,COMERCIO,0,5,0,1,0,0,1,0.0,1.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,POSESION,3,3,4,7,8,3,4,1.0,4.0,3.0,2.0,2.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,CONTRA LA SALUD,OTROS,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,0,3,2,4,2,4,6,3.0,5.0,3.0,4.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,3,13,6,3,2,9,2,4.0,2.0,3.0,0.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,1,3,3,1,0,1,1,2.0,0.0,2.0,2.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",0,4,1,1,6,2,2,1.0,4.0,3.0,2.0,3.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,PATRIMONIALES,3,39,11,9,19,9,31,27.0,8.0,11.0,12.0,8.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
2019,BAJA CALIFORNIA SUR,CODIGO PENAL FEDERAL,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,2,15,2,4,3,1,4,5.0,1.0,4.0,4.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,0,0,0,0,30,0,0,0.0,0.0,0.0,0.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRANSPORTE,0,1,0,1,0,1,1,1.0,0.0,1.0,9.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,7.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,COMERCIO,0,1,47,36,0,14,8,9.0,14.0,7.0,14.0,10.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,SUMINISTRO,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,POSESION,1,3,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,CONTRA LA SALUD,OTROS,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,4,3,4,3,4,5,6,8.0,4.0,7.0,4.0,3.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,5,6,7,9,10,15,8,5.0,7.0,13.0,4.0,4.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,1,1,0,3,0,0,2,0.0,0.0,1.0,0.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",1,0,1,3,3,2,2,1.0,2.0,4.0,2.0,0.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,PATRIMONIALES,14,6,25,12,22,10,15,18.0,8.0,11.0,8.0,8.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,1,2,0,0,3,3,2,0.0,2.0,2.0,1.0,2.0
2019,CAMPECHE,CODIGO PENAL FEDERAL,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,2,8,4,3,1,1,6,1.0,5.0,6.0,3.0,2.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,PRODUCCION,4,3,7,2,0,0,2,0.0,1.0,2.0,1.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRANSPORTE,0,0,0,5,3,1,0,1.0,1.0,0.0,0.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,TRAFICO,0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,COMERCIO,0,0,0,0,0,0,0,1.0,2.0,0.0,2.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,SUMINISTRO,0,0,0,1,3,0,2,6.0,7.0,7.0,8.0,5.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,POSESION,10,7,11,8,5,12,10,7.0,10.0,6.0,8.0,5.0
2019,COAHUILA,CODIGO PENAL FEDERAL,CONTRA LA SALUD,OTROS,3,0,0,0,0,1,0,1.0,3.0,0.0,0.0,4.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,2,2,7,4,8,9,8,7.0,6.0,6.0,7.0,4.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,1,4,1,1,0,1,0,2.0,0.0,1.0,0.0,1.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,1,2,0,1,3,3,0,3.0,2.0,2.0,1.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,ELECTORALES,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,1,0,2,0,0,1,1.0,0.0,0.0,0.0,0.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",3,6,17,10,4,4,4,3.0,1.0,2.0,0.0,3.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,PATRIMONIALES,25,28,17,36,21,27,36,19.0,11.0,23.0,15.0,14.0
2019,COAHUILA,CODIGO PENAL FEDERAL,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,1,6,2,1,2,7,1.0,0.0,0.0,0.0,0.0
