ENTIDAD,CONCEPTO,2019,2020,2021,2022,2023,2024,2025
AGUASCALIENTES,CONTRA LA SALUD,8.93,29.51,8.86,-20.93,10.29,4.0,1.28
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-50.0,500.0,-83.33,0.0,100.0,0.0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),-40.74,0.0,-50.0,-12.5,-71.43,100.0,75.0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,-1.69,-3.45,33.93,-22.22,8.0,18.52,-12.5
AGUASCALIENTES,OTROS DELITOS,35.07,-51.38,28.41,19.47,5.93,39.16,-49.25
BAJA CALIFORNIA,CONTRA LA SALUD,13.73,9.26,-5.16,-8.16,16.7,-17.93,10.6
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),50.0,66.67,180.0,-50.0,-57.14,233.33,-30.0
BAJA CALIFORNIA,LEY GENERAL DE SALUD (L.G.S.),-14.29,-4.17,-45.65,-12.0,-18.18,-55.56,125.0
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,26.21,-30.52,1.61,0.75,9.82,2.95,7.3
BAJA CALIFORNIA,OTROS DELITOS,-34.05,-62.98,0.82,-6.52,0.58,53.18,-21.32
BAJA CALIFORNIA SUR,CONTRA LA SALUD,6.45,184.85,2.66,-37.82,5.0,3.17,-45.38
BAJA CALIFORNIA SUR,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,0.0,-100.0,0.0,0.0,0.0,0.0
BAJA CALIFORNIA SUR,LEY GENERAL DE SALUD (L.G.S.),-50.0,-75.0,66.67,-20.0,-50.0,950.0,104.76
BAJA CALIFORNIA SUR,OTRAS LEYES Y CODIGOS,-14.88,-16.08,33.33,-18.12,6.87,15.0,26.09
BAJA CALIFORNIA SUR,OTROS DELITOS,-19.8,-26.36,19.32,-27.14,31.37,12.44,43.81
CAMPECHE,CONTRA LA SALUD,1985.71,-67.81,-51.06,-65.22,62.5,38.46,44.44
CAMPECHE,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,0.0,-100.0,0.0,-100.0,0.0,0.0
CAMPECHE,LEY GENERAL DE SALUD (L.G.S.),760.0,20.93,-96.15,-100.0,0.0,-66.67,0.0
CAMPECHE,OTRAS LEYES Y CODIGOS,14.16,-24.81,1.03,1.02,9.09,-2.78,109.52
CAMPECHE,OTROS DELITOS,12.73,-29.44,-22.86,31.11,-2.82,-5.23,12.88
CHIAPAS,CONTRA LA SALUD,22.39,8.54,-21.35,-30.0,2.04,56.0,15.38
CHIAPAS,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-50.0,300.0,75.0,57.14,-45.45,16.67
CHIAPAS,LEY GENERAL DE SALUD (L.G.S.),140.74,36.92,-52.81,-16.67,-8.57,-18.75,26.92
CHIAPAS,OTRAS LEYES Y CODIGOS,51.39,-33.78,82.66,-5.09,-14.93,-3.24,15.85
CHIAPAS,OTROS DELITOS,-9.25,-43.1,12.93,1.81,-1.78,30.72,-27.34
CHIHUAHUA,CONTRA LA SALUD,23.14,-7.09,10.31,-31.49,-7.07,10.87,-12.25
CHIHUAHUA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-60.0,50.0,100.0,33.33,25.0,-20.0
CHIHUAHUA,LEY GENERAL DE SALUD (L.G.S.),81.82,-66.67,45.0,-34.48,10.53,28.57,-22.22
CHIHUAHUA,OTRAS LEYES Y CODIGOS,0.46,-0.34,-13.88,-20.74,28.17,4.42,17.81
CHIHUAHUA,OTROS DELITOS,-49.46,-6.65,-11.2,-6.02,-12.2,23.26,-1.69
CIUDAD DE MEXICO,CONTRA LA SALUD,60.68,-13.83,-25.93,-17.08,7.04,32.39,-11.7
CIUDAD DE MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),125.0,-22.22,-17.86,-13.04,-25.0,73.33,30.77
CIUDAD DE MEXICO,LEY GENERAL DE SALUD (L.G.S.),182.35,-89.58,26.67,36.84,69.23,-22.73,-26.47
CIUDAD DE MEXICO,OTRAS LEYES Y CODIGOS,-17.15,-44.46,-12.69,-9.69,-14.98,-6.55,-5.41
CIUDAD DE MEXICO,OTROS DELITOS,-20.22,-23.43,-10.62,26.12,0.47,26.22,-15.13
COAHUILA,CONTRA LA SALUD,17.44,8.91,22.73,-46.67,18.06,35.29,23.48
COAHUILA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),100.0,-100.0,0.0,-100.0,0.0,-100.0,0.0
COAHUILA,LEY GENERAL DE SALUD (L.G.S.),0.0,0.0,-75.0,100.0,-50.0,100.0,-100.0
COAHUILA,OTRAS LEYES Y CODIGOS,-8.15,-16.51,18.32,-5.57,-7.87,24.56,4.29
COAHUILA,OTROS DELITOS,-17.37,-39.2,69.63,27.0,-1.95,-15.49,21.99
COLIMA,CONTRA LA SALUD,179.17,-14.93,3.51,140.68,-15.49,-6.67,58.93
COLIMA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),-33.33,0.0,-100.0,0.0,-100.0,0.0,300.0
COLIMA,LEY GENERAL DE SALUD (L.G.S.),0.0,250.0,-28.57,220.0,337.5,-44.29,-97.44
COLIMA,OTRAS LEYES Y CODIGOS,20.98,-16.61,9.73,36.29,-16.57,-2.84,-30.66
COLIMA,OTROS DELITOS,2.17,-15.43,52.2,1.24,-20.41,36.41,-7.52
DURANGO,CONTRA LA SALUD,-9.68,13.1,-40.0,-1.75,44.64,-14.81,2.9
DURANGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),400.0,-80.0,100.0,-50.0,-100.0,0.0,300.0
DURANGO,LEY GENERAL DE SALUD (L.G.S.),-50.0,50.0,0.0,-66.67,0.0,-50.0,1100.0
DURANGO,OTRAS LEYES Y CODIGOS,11.84,-28.24,27.32,27.04,24.32,1.36,-14.21
DURANGO,OTROS DELITOS,-54.79,-16.1,31.82,5.75,23.91,-1.75,33.93
GUANAJUATO,CONTRA LA SALUD,-4.07,12.71,75.94,-35.47,23.84,-4.81,-21.91
GUANAJUATO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,20.0,-16.67,20.0,-16.67,-60.0,400.0
GUANAJUATO,LEY GENERAL DE SALUD (L.G.S.),-30.77,11.11,0.0,120.0,-22.73,-17.65,0.0
GUANAJUATO,OTRAS LEYES Y CODIGOS,28.87,-9.12,-15.67,10.75,1.14,13.48,-1.29
GUANAJUATO,OTROS DELITOS,-42.05,-6.14,-25.68,18.91,-6.93,8.21,13.68
GUERRERO,CONTRA LA SALUD,-42.68,-1.06,12.9,-43.81,-15.25,-52.0,112.5
GUERRERO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),-64.29,-80.0,100.0,950.0,-47.62,18.18,-23.08
GUERRERO,LEY GENERAL DE SALUD (L.G.S.),0.0,-22.22,514.29,-74.42,-36.36,14.29,-50.0
GUERRERO,OTRAS LEYES Y CODIGOS,41.2,-15.54,34.9,-41.31,3.95,-3.8,-4.17
GUERRERO,OTROS DELITOS,-25.96,-34.03,-17.89,-6.41,1.37,-20.95,24.79
HIDALGO,CONTRA LA SALUD,22.73,-18.52,40.91,51.61,36.17,-17.19,-1.89
HIDALGO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),400.0,-60.0,0.0,-100.0,0.0,0.0,200.0
HIDALGO,LEY GENERAL DE SALUD (L.G.S.),-33.33,-60.0,125.0,-66.67,233.33,-50.0,20.0
HIDALGO,OTRAS LEYES Y CODIGOS,597.15,-49.27,57.47,-14.96,38.37,-54.96,5.65
HIDALGO,OTROS DELITOS,-57.79,-32.65,7.75,46.15,13.04,-5.26,-30.24
JALISCO,CONTRA LA SALUD,-41.52,2.39,-3.33,-16.21,-28.81,12.72,27.18
JALISCO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),0.0,-5.56,11.76,-36.84,-16.67,10.0,136.36
JALISCO,LEY GENERAL DE SALUD (L.G.S.),48.94,-65.71,29.17,-3.23,-40.0,50.0,-7.41
JALISCO,OTRAS LEYES Y CODIGOS,85.09,-27.28,7.19,-6.71,1.32,4.89,10.34
JALISCO,OTROS DELITOS,-34.4,-18.0,-7.92,1.52,-1.41,7.97,-14.01
MEXICO,CONTRA LA SALUD,24.29,-6.36,23.79,-32.55,-23.26,-27.27,-13.54
MEXICO,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),50.0,-47.62,-72.73,133.33,28.57,-44.44,200.0
MEXICO,LEY GENERAL DE SALUD (L.G.S.),53.57,-62.79,50.0,-29.17,-23.53,23.08,-25.0
