ENTIDAD,CONCEPTO,TIPO,TOTAL_ENE_JUL_2025
AGUASCALIENTES,CONTRA LA SALUD,COMERCIO,3
AGUASCALIENTES,CONTRA LA SALUD,OTROS,2
AGUASCALIENTES,CONTRA LA SALUD,POSESION,71
AGUASCALIENTES,CONTRA LA SALUD,TRAFICO,1
AGUASCALIENTES,CONTRA LA SALUD,TRANSPORTE,2
BAJA CALIFORNIA,CONTRA LA SALUD,COMERCIO,1
BAJA CALIFORNIA,CONTRA LA SALUD,OTROS,12
BAJA CALIFORNIA,CONTRA LA SALUD,POSESION,307
BAJA CALIFORNIA,CONTRA LA SALUD,PRODUCCION,6
BAJA CALIFORNIA,CONTRA LA SALUD,SUMINISTRO,1
BAJA CALIFORNIA,CONTRA LA SALUD,TRAFICO,140
BAJA CALIFORNIA,CONTRA LA SALUD,TRANSPORTE,34
BAJA CALIFORNIA SUR,CONTRA LA SALUD,COMERCIO,4
BAJA CALIFORNIA SUR,CONTRA LA SALUD,OTROS,2
BAJA CALIFORNIA SUR,CONTRA LA SALUD,POSESION,23
BAJA CALIFORNIA SUR,CONTRA LA SALUD,SUMINISTRO,1
BAJA CALIFORNIA SUR,CONTRA LA SALUD,TRAFICO,17
BAJA CALIFORNIA SUR,CONTRA LA SALUD,TRANSPORTE,24
CAMPECHE,CONTRA LA SALUD,COMERCIO,7
CAMPECHE,CONTRA LA SALUD,POSESION,16
CAMPECHE,CONTRA LA SALUD,TRAFICO,2
CAMPECHE,CONTRA LA SALUD,TRANSPORTE,1
CHIAPAS,CONTRA LA SALUD,COMERCIO,3
CHIAPAS,CONTRA LA SALUD,OTROS,1
CHIAPAS,CONTRA LA SALUD,POSESION,9
CHIAPAS,CONTRA LA SALUD,PRODUCCION,2
CHIAPAS,CONTRA LA SALUD,SUMINISTRO,1
CHIAPAS,CONTRA LA SALUD,TRAFICO,21
CHIAPAS,CONTRA LA SALUD,TRANSPORTE,53
CHIHUAHUA,CONTRA LA SALUD,COMERCIO,10
CHIHUAHUA,CONTRA LA SALUD,OTROS,16
CHIHUAHUA,CONTRA LA SALUD,POSESION,121
CHIHUAHUA,CONTRA LA SALUD,PRODUCCION,1
CHIHUAHUA,CONTRA LA SALUD,TRAFICO,20
CHIHUAHUA,CONTRA LA SALUD,TRANSPORTE,11
CIUDAD DE MEXICO,CONTRA LA SALUD,COMERCIO,4
CIUDAD DE MEXICO,CONTRA LA SALUD,POSESION,94
CIUDAD DE MEXICO,CONTRA LA SALUD,PRODUCCION,1
CIUDAD DE MEXICO,CONTRA LA SALUD,TRAFICO,148
CIUDAD DE MEXICO,CONTRA LA SALUD,TRANSPORTE,2
COAHUILA,CONTRA LA SALUD,COMERCIO,17
COAHUILA,CONTRA LA SALUD,OTROS,1
COAHUILA,CONTRA LA SALUD,POSESION,71
COAHUILA,CONTRA LA SALUD,TRAFICO,28
COAHUILA,CONTRA LA SALUD,TRANSPORTE,25
COLIMA,CONTRA LA SALUD,COMERCIO,16
COLIMA,CONTRA LA SALUD,POSESION,158
COLIMA,CONTRA LA SALUD,TRAFICO,3
COLIMA,CONTRA LA SALUD,TRANSPORTE,1
DURANGO,CONTRA LA SALUD,COMERCIO,5
DURANGO,CONTRA LA SALUD,OTROS,12
DURANGO,CONTRA LA SALUD,POSESION,9
DURANGO,CONTRA LA SALUD,PRODUCCION,1
DURANGO,CONTRA LA SALUD,SUMINISTRO,1
DURANGO,CONTRA LA SALUD,TRAFICO,32
