ANIO_MES,AÑO,MES,MES_NOMBRE,ENTIDAD,CONCEPTO,TIPO,CASOS
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,POSESION,50
2024-01,2024,1,ENERO,JALISCO,CONTRA LA SALUD,POSESION,25
2024-01,2024,1,ENERO,CHIHUAHUA,CONTRA LA SALUD,POSESION,23
2024-01,2024,1,ENERO,GUANAJUATO,CONTRA LA SALUD,POSESION,22
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,CONTRA LA SALUD,TRAFICO,17
2024-01,2024,1,ENERO,QUINTANA ROO,CONTRA LA SALUD,POSESION,17
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,POSESION,17
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,POSESION,17
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,CONTRA LA SALUD,POSESION,15
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,POSESION,15
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,TRAFICO,14
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,POSESION,12
2024-01,2024,1,ENERO,COLIMA,CONTRA LA SALUD,POSESION,11
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,CONTRA LA SALUD,POSESION,9
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,TRANSPORTE,8
2024-01,2024,1,ENERO,AGUASCALIENTES,CONTRA LA SALUD,POSESION,7
2024-01,2024,1,ENERO,COAHUILA,CONTRA LA SALUD,POSESION,7
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,POSESION,7
2024-01,2024,1,ENERO,NUEVO LEON,CONTRA LA SALUD,POSESION,7
2024-01,2024,1,ENERO,COAHUILA,CONTRA LA SALUD,TRANSPORTE,6
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,COMERCIO,6
2024-01,2024,1,ENERO,CIUDAD DE MEXICO,CONTRA LA SALUD,TRANSPORTE,5
2024-01,2024,1,ENERO,MEXICO,CONTRA LA SALUD,TRANSPORTE,5
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,TRAFICO,5
2024-01,2024,1,ENERO,NUEVO LEON,CONTRA LA SALUD,TRAFICO,5
2024-01,2024,1,ENERO,QUERETARO,CONTRA LA SALUD,TRANSPORTE,5
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,TRANSPORTE,5
2024-01,2024,1,ENERO,SAN LUIS POTOSI,CONTRA LA SALUD,TRAFICO,5
2024-01,2024,1,ENERO,HIDALGO,CONTRA LA SALUD,POSESION,4
2024-01,2024,1,ENERO,JALISCO,CONTRA LA SALUD,TRAFICO,4
2024-01,2024,1,ENERO,MEXICO,CONTRA LA SALUD,POSESION,4
2024-01,2024,1,ENERO,NUEVO LEON,CONTRA LA SALUD,COMERCIO,4
2024-01,2024,1,ENERO,PUEBLA,CONTRA LA SALUD,POSESION,4
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,PRODUCCION,4
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,CONTRA LA SALUD,TRANSPORTE,3
2024-01,2024,1,ENERO,COLIMA,CONTRA LA SALUD,TRAFICO,3
2024-01,2024,1,ENERO,CHIAPAS,CONTRA LA SALUD,TRAFICO,3
2024-01,2024,1,ENERO,DURANGO,CONTRA LA SALUD,POSESION,3
2024-01,2024,1,ENERO,GUERRERO,CONTRA LA SALUD,POSESION,3
2024-01,2024,1,ENERO,MICHOACAN,CONTRA LA SALUD,TRANSPORTE,3
2024-01,2024,1,ENERO,OAXACA,CONTRA LA SALUD,TRANSPORTE,3
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,TRAFICO,3
2024-01,2024,1,ENERO,SINALOA,CONTRA LA SALUD,OTROS,3
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,TRANSPORTE,3
2024-01,2024,1,ENERO,SONORA,CONTRA LA SALUD,TRAFICO,3
2024-01,2024,1,ENERO,YUCATAN,CONTRA LA SALUD,COMERCIO,3
2024-01,2024,1,ENERO,BAJA CALIFORNIA,CONTRA LA SALUD,TRANSPORTE,2
2024-01,2024,1,ENERO,BAJA CALIFORNIA SUR,CONTRA LA SALUD,COMERCIO,2
