ENTIDAD,CONCEPTO,TIPO,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
AGUASCALIENTES,CONTRA LA SALUD,COMERCIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AGUASCALIENTES,CONTRA LA SALUD,OTROS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AGUASCALIENTES,CONTRA LA SALUD,POSESION,4,7,7,6,6,5,8,11,5,9,8,4,3,10,6,21,9,8,8,9
AGUASCALIENTES,CONTRA LA SALUD,PRODUCCION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,CONTRA LA SALUD,SUMINISTRO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,CONTRA LA SALUD,TRAFICO,1,0,0,1,3,3,1,1,2,2,3,1,2,1,0,0,0,0,0,0
AGUASCALIENTES,CONTRA LA SALUD,TRANSPORTE,2,0,3,3,1,7,1,2,4,3,3,4,2,0,0,1,0,0,0,1
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,0,1,0,0,1,2,2,3,1,1,0,0,0,1,1,0,0,3
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),2,0,0,2,1,3,2,1,3,3,1,3,1,1,0,1,0,3,1,1
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),2,7,2,6,6,6,7,20,6,8,3,6,8,4,4,10,1,2,10,3
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),18,10,11,16,12,12,9,8,13,5,13,8,9,16,11,7,11,12,11,8
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),0,1,0,0,1,0,0,1,1,0,0,3,1,1,0,1,0,0,0,1
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),1,0,0,0,2,4,2,17,5,1,0,0,0,0,0,0,2,2,4,1
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",3,4,1,6,4,6,4,6,5,3,2,6,4,3,1,0,0,1,0,1
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,OTRAS LEYES ESPECIALES,3,3,3,4,5,4,3,1,5,7,4,2,6,7,4,5,13,14,9,5
AGUASCALIENTES,OTROS DELITOS,COMETIDOS POR SERVIDORES PUBLICOS,3,1,4,7,0,0,0,1,4,1,0,3,2,0,2,2,0,1,1,2
AGUASCALIENTES,OTROS DELITOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2
AGUASCALIENTES,OTROS DELITOS,CONTRA LA INTEGRIDAD CORPORAL,0,0,1,0,3,3,1,1,3,2,0,0,2,0,1,3,0,1,2,0
AGUASCALIENTES,OTROS DELITOS,ELECTORALES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,EN MATERIA DE DERECHOS DE AUTOR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUASCALIENTES,OTROS DELITOS,"FALSEDAD, TITULO DECIMO TERCERO",0,1,2,1,3,0,2,3,2,1,1,0,2,4,0,0,3,2,1,4
AGUASCALIENTES,OTROS DELITOS,OTROS DELITOS DEL C.P.F.,7,1,6,3,3,5,3,7,2,2,2,4,3,2,4,10,5,1,4,2
AGUASCALIENTES,OTROS DELITOS,PATRIMONIALES,5,2,16,9,23,16,50,16,7,5,14,7,4,2,9,3,8,3,6,9
AGUASCALIENTES,OTROS DELITOS,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,COMERCIO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BAJA CALIFORNIA,CONTRA LA SALUD,OTROS,1,0,0,2,1,4,2,3,5,4,1,1,1,2,0,2,0,2,1,5
BAJA CALIFORNIA,CONTRA LA SALUD,POSESION,45,50,49,42,39,56,49,54,60,41,53,33,33,29,31,35,41,40,64,67
BAJA CALIFORNIA,CONTRA LA SALUD,PRODUCCION,0,0,1,0,0,2,2,0,0,0,0,1,0,3,1,1,0,0,0,1
BAJA CALIFORNIA,CONTRA LA SALUD,SUMINISTRO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAJA CALIFORNIA,CONTRA LA SALUD,TRAFICO,8,14,9,9,13,7,11,13,12,15,7,16,14,13,11,17,30,24,30,15
BAJA CALIFORNIA,CONTRA LA SALUD,TRANSPORTE,4,2,2,4,2,4,4,0,1,1,0,6,4,1,7,4,6,4,8,4
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,1,0,1,2,2,0,2,0,1,1,1,2,0,0,1,1,0,0,2,1
BAJA CALIFORNIA,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,2,0,0,3,0,1,0,1,1,0,2,5,0,0,2,2,1,4,2,4
BAJA CALIFORNIA,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,1,0,0,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,3
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),7,3,6,5,9,6,7,7,6,7,11,3,5,4,3,5,3,14,2,16
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),8,2,4,1,3,1,1,4,1,3,2,2,0,2,2,1,3,3,6,5
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,7,9,10,10,8,7,7,4,3,4,3,7,3,3,6,7,9,5,5,5
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),8,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,5,1
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),99,129,135,141,114,124,132,127,98,95,84,78,89,91,108,92,117,126,124,128
BAJA CALIFORNIA,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
