ENTIDAD,CONCEPTO,TIPO,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
AGUASCALIENTES,CONTRA LA SALUD,COMERCIO,,,,,,,,,,,,,,,,,,0.0,0.0
AGUASCALIENTES,CONTRA LA SALUD,OTROS,,,,,,-100.0,,,,,,,,,,,,,0.0
AGUASCALIENTES,CONTRA LA SALUD,POSESION,75.0,0.0,-14.3,0.0,-16.7,60.0,37.5,-54.5,80.0,-11.1,-50.0,-25.0,233.3,-40.0,250.0,-57.1,-11.1,0.0,12.5
AGUASCALIENTES,CONTRA LA SALUD,PRODUCCION,,,,,,,,,,,,,,,,,,,
AGUASCALIENTES,CONTRA LA SALUD,SUMINISTRO,,,,-100.0,,,,,,,,,,,,,,,
AGUASCALIENTES,CONTRA LA SALUD,TRAFICO,-100.0,,,200.0,0.0,-66.7,0.0,100.0,0.0,50.0,-66.7,100.0,-50.0,-100.0,,,,,
AGUASCALIENTES,CONTRA LA SALUD,TRANSPORTE,-100.0,,0.0,-66.7,600.0,-85.7,100.0,100.0,-25.0,0.0,33.3,-50.0,-100.0,,,-100.0,,,
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,,-100.0,,,,,,,,,,,,,-100.0,,,,-100.0
AGUASCALIENTES,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,,,,,-100.0,,,,,,,,,,,,,,
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,,,,-100.0,,,100.0,0.0,50.0,-66.7,0.0,-100.0,,,,0.0,-100.0,,
AGUASCALIENTES,LEY GENERAL DE SALUD (L.G.S.),OTROS DELITOS PREVISTOS EN LA L.G.S.,,,,,,,,,,,,,,,,-100.0,,,
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,CODIGO FISCAL DE LA FEDERACION (C.F.F.),-100.0,,,-50.0,200.0,-33.3,-50.0,200.0,0.0,-66.7,200.0,-66.7,0.0,-100.0,,-100.0,,-66.7,0.0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),,,,,,,,,,,-100.0,,,,,,,-100.0,
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE MIGRACION,,,,,,,,-100.0,,,,,,,,,,,
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),250.0,-71.4,200.0,0.0,0.0,16.7,185.7,-70.0,33.3,-62.5,100.0,33.3,-50.0,0.0,150.0,-90.0,100.0,400.0,-70.0
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),-44.4,10.0,45.5,-25.0,0.0,-25.0,-11.1,62.5,-61.5,160.0,-38.5,12.5,77.8,-31.2,-36.4,57.1,9.1,-8.3,-27.3
AGUASCALIENTES,OTRAS LEYES Y CODIGOS,LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),,,,,,,,,,,,,,,,,,,
