CONCEPTO,MES_AÑO,COMERCIO,OTROS,POSESION,PRODUCCION,SUMINISTRO,TRAFICO,TRANSPORTE,COMETIDOS POR SERVIDORES PUBLICOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,CONTRA LA INTEGRIDAD CORPORAL,ELECTORALES,EN MATERIA DE DERECHOS DE AUTOR,"FALSEDAD, TITULO DECIMO TERCERO",OTROS DELITOS DEL C.P.F.,PATRIMONIALES,VIAS DE COMUNICACION Y CORRESPONDENCIA,CODIGO FISCAL DE LA FEDERACION (C.F.F.),LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),LEY DE MIGRACION,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",OTRAS LEYES ESPECIALES,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,OTROS DELITOS PREVISTOS EN LA L.G.S.,CONTRA LA SALUD,OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.
CONTRA LA SALUD,2023-12,19,15,237,7,4,89,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-01,28,9,287,6,4,75,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-02,22,21,279,12,3,115,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-03,19,24,260,11,7,95,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-04,19,25,255,5,2,111,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-05,22,31,279,16,0,116,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-06,15,13,224,5,1,103,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-07,28,15,278,1,2,110,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-08,17,15,297,6,0,113,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-09,12,24,219,5,2,104,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-10,41,16,267,5,0,133,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-11,27,21,230,7,2,119,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2024-12,15,16,249,7,2,85,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2025-01,35,16,288,11,1,124,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2025-02,39,20,280,12,1,121,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2025-03,35,24,312,12,3,106,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRA LA SALUD,2025-04,19,21,244,3,1,132,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
