CONCEPTO,AÑO,CODIGO FISCAL DE LA FEDERACION (C.F.F.),COMERCIO,COMETIDOS POR SERVIDORES PUBLICOS,CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,CONTRA LA INTEGRIDAD CORPORAL,CONTRA LA SALUD,CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,ELECTORALES,EN MATERIA DE DERECHOS DE AUTOR,"FALSEDAD, TITULO DECIMO TERCERO",LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),LEY DE MIGRACION,LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),LEY FEDERAL DE ARMAS DE FUEGO Y EXPLOSIVOS (L.F.A.F.E.),LEY FEDERAL DEL DERECHO DE AUTOR (L.F.D.A.),LEY FEDERAL PARA PREVENIR Y SANCIONAR LOS DELITOS COMETIDOS EN MATERIA DE HIDROCARBUROS (L.F.P.S.D.C.M.H.),LEY GENERAL EN MATERIA DE DELITOS ELECTORALES (L.G.M.D.E.),"LEYES DE INSTITUCIONES DE CREDITO, INVERSION, FIANZAS Y SEGUROS",OTRAS LEYES ESPECIALES,OTROS,OTROS DELITOS DEL C.P.F.,OTROS DELITOS PREVISTOS EN LA L.F.C.D.O.,OTROS DELITOS PREVISTOS EN LA L.G.S.,PATRIMONIALES,POSESION,PRODUCCION,SUMINISTRO,TRAFICO,TRANSPORTE,VIAS DE COMUNICACION Y CORRESPONDENCIA
CONTRA LA SALUD,2018,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,1492,461,30,143,528,0
CONTRA LA SALUD,2019,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,1849,1138,219,171,435,0
CONTRA LA SALUD,2020,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,1612,63,16,999,1128,0
CONTRA LA SALUD,2021,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,1965,64,25,877,1071,0
CONTRA LA SALUD,2022,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,1743,63,8,735,654,0
CONTRA LA SALUD,2023,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,2242,64,16,778,580,0
CONTRA LA SALUD,2024,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,1862,56,19,725,565,0
CONTRA LA SALUD,2025,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,2070,60,8,842,629,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2018,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2019,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2020,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2021,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2022,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2023,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2024,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),2025,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2018,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2019,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2020,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2021,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2022,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2023,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2024,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0
LEY GENERAL DE SALUD (L.G.S.),2025,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2018,1699,0,0,0,0,0,0,0,0,0,895,493,2085,8242,4,0,0,5918,3451,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2019,1334,0,0,0,0,0,0,0,0,0,1167,800,2769,8610,0,7352,369,4833,3738,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2020,1283,0,0,0,0,0,0,0,0,0,783,314,1939,8544,0,3469,344,2938,2169,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2021,996,0,0,0,0,0,0,0,0,0,812,988,2808,8089,0,3695,1225,2475,2571,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2022,801,0,0,0,0,0,0,0,0,0,497,977,2488,8384,0,3453,296,2085,3315,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2023,931,0,0,0,0,0,0,0,0,0,556,540,2595,8784,0,5109,200,1497,3204,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2024,1123,0,0,0,0,0,0,0,0,0,772,528,2556,8675,0,3948,528,1365,3200,0,0,0,0,0,0,0,0,0,0,0
OTRAS LEYES Y CODIGOS,2025,1024,0,0,0,0,0,0,0,0,0,754,177,2454,10976,0,4904,605,1071,3086,0,0,0,0,0,0,0,0,0,0,0
OTROS DELITOS,2018,0,0,1203,549,379,0,0,208,144,1691,0,0,0,0,0,0,0,0,0,0,3951,0,0,28683,0,0,0,0,0,142
OTROS DELITOS,2019,0,0,2750,862,764,0,0,9,219,2197,0,0,0,0,0,0,0,0,0,0,2857,0,0,13628,0,0,0,0,0,442
OTROS DELITOS,2020,0,0,2172,692,444,0,0,4,102,1295,0,0,0,0,0,0,0,0,0,0,1916,0,0,10401,0,0,0,0,0,267
OTROS DELITOS,2021,0,0,2390,648,514,0,0,5,143,1350,0,0,0,0,0,0,0,0,0,0,1908,0,0,9961,0,0,0,0,0,385
OTROS DELITOS,2022,0,0,2508,770,517,0,0,2,131,1598,0,0,0,0,0,0,0,0,0,0,1845,0,0,10717,0,0,0,0,0,401
OTROS DELITOS,2023,0,0,2297,683,661,0,0,2,203,1571,0,0,0,0,0,0,0,0,0,0,1948,0,0,10841,0,0,0,0,0,329
OTROS DELITOS,2024,0,0,2733,629,733,0,0,7,345,1834,0,0,0,0,0,0,0,0,0,0,2094,0,0,11506,0,0,0,0,0,250
OTROS DELITOS,2025,0,0,2511,738,702,0,0,4,341,1871,0,0,0,0,0,0,0,0,0,0,1927,0,0,10599,0,0,0,0,0,392
